,name,x,y,address
100,Borken DE,6.8582247,51.8443183,"Borken, Kreis Borken, Nordrhein-Westfalen, 46325, Deutschland"
101,Borssele NL,3.7379392,51.4254902,"Borssele, Borsele, Zeeland, Nederland"
102,Bosaca SK,17.8426508,48.8264594,"Bošáca, okres Nové Mesto nad Váhom, Trenčiansky kraj, Západné Slovensko, 913 07, Slovensko"
103,Boxmeer NL,5.9450972,51.6486483,"Boxmeer, Land van Cuijk, Noord-Brabant, Nederland, 5831EL, Nederland"
104,Bradu RO,24.3289525,45.7210324,"Bradu, Avrig, Sibiu, 555201, România"
105,Brasov RO,25.6102746,45.6523093,"Brașov, România"
106,Braunschweig N DE,7.3266304,51.4273099,"Stollenmundloch Zeche Louisenglück/Braunschweig Südflügel, Nachtigallstraße, Bommern, Witten, Ennepe-Ruhr-Kreis, Nordrhein-Westfalen, 58452, Deutschland"
107,Brazi Vest RO,25.99850193005772,44.955282350000004,"Grădinița Step by Step Licurici (nr. 53 Brazi), 2, Aleea Arinului, Ploiești, Nord, Ploiești, Prahova, 100076, România"
108,Breukelen Kortrijk NL,4.9911597,52.1645075,"Fly-over Breukelen, Kortrijk, Breukelen, Stichtse Vecht, Utrecht, Nederland, 3621, Nederland"
109,Brinje HR,15.1312723,44.9998131,"Brinje, Općina Brinje, Ličko-senjska županija, 53260, Hrvatska"
110,Brokdorf DE,9.3243161,53.8687514,"Brokdorf, Wilstermarsch, Steinburg, Schleswig-Holstein, 25576, Deutschland"
111,Bruchsal Kändelweg DE,8.5573079,49.1327575,"Bruchsal Kändelweg, Industriestraße, West II, Bruchsal, Verwaltungsgemeinschaft Bruchsal, Landkreis Karlsruhe, Baden-Württemberg, 76646, Deutschland"
112,Brunsbüttel DE,9.1395423,53.8972549,"Brunsbüttel, Dithmarschen, Schleswig-Holstein, Deutschland"
113,Brunsbüttel DE,9.1395423,53.8972549,"Brunsbüttel, Dithmarschen, Schleswig-Holstein, Deutschland"
114,Bucuresti Sud RO,26.035686246085298,44.9235352,"Timken România S.A., Bulevardul București, Ploiești, Prahova, România"
115,Bühl DE,8.134423,48.6945066,"Bühl, Vereinbarte Verwaltungsgemeinschaft Bühl, Landkreis Rastatt, Baden-Württemberg, 77815, Deutschland"
116,Bünzwangen DE,9.5461178,48.7091394,"Bünzwangen, Ebersbach an der Fils, Vereinbarte Verwaltungsgemeinschaft der Stadt Ebersbach an der Fils, Landkreis Göppingen, Baden-Württemberg, 73095, Deutschland"
117,Bürs AT,9.795892015661218,47.1254977,"Gemeinde Bürs, Bezirk Bludenz, Vorarlberg, 6706, Österreich"
118,Bürs DE,11.9849832,52.6736091,"Bürs, Arneburg, Arneburg-Goldbeck, Stendal, Sachsen-Anhalt, Deutschland"
