,x,y,OSM_id,OSM_type,OSM_name,OSM_voltage,OSM_operator,comment,comment 2
CORDEMAIS-POSTE,-1.8704371826262796,47.28614568908637,112342683.0,Polygon,Poste électrique de Cordemais,400000;225000,RTE,,
FLOIRAC,-0.5241749388714608,44.82095255626394,111449797.0,Polygon,Poste électrique de Floirac,225000;90000;63000;20000,RTE,,
ETUPES,6.847868776808252,47.50738282361747,89158123.0,Polygon,Poste électrique d’Étupes,225000,RTE,,
COMMERVEIL,0.3759746926887514,48.31674916248496,146449311.0,Polygon,Poste électrique de Commerveil,225000;90000,RTE,,
HAVRE (LE) (POSTE),0.1481989297049731,49.47773131746289,118244194.0,Polygon,Poste électrique du Havre,400000,RTE,,
GINESTOUS,1.4117002848165996,43.657880917475445,110876167.0,Polygon,Poste électrique de Ginestous,225000;63000,RTE,Multiple matches,
CUSSET-POSTE,4.916276091043567,45.76496614431106,114254761.0,Polygon,Poste électrique de Cusset,225000;63000;20000,RTE,,
CESTAS,-0.7977558245575862,44.72014102422742,584362062.0,Polygon,Poste électrique de Cestas,225000,RTE,,
PASSY,6.724982747024154,45.91596974009757,182816228.0,Polygon,Poste électrique de Passy,225000,RTE,,
NAOUTOT,-0.518361323313848,43.85974720680717,113020114.0,Polygon,Poste électrique de Naoutot,225000,RTE,,
JACQUARD,4.376053827429821,45.44390746288881,130562947.0,Polygon,Poste électrique de Jacquard,225000,RTE,,
MAUREIX (LE),1.4636688960679676,45.92555010710459,139834740.0,Polygon,Poste RTE de Maureix,225000;90000,RTE,,
SISTERON,5.921334898760826,44.21258979829608,146534506.0,Polygon,Poste électrique de Sisteron,225000;63000;20000,RTE,,
BRENS (CNR),1.9597922281984563,43.90560138628064,549628132.0,Polygon,Poste électrique de Brens,225000;63000,RTE,,
LANNEMEZAN,0.3925980200748006,43.113057655581045,294002018.0,Polygon,Poste électrique de Lannemezan,225000;150000;63000;20000,RTE,,
SEREIN,3.7409523113776806,47.88650859660908,81228088.0,Polygon,Poste électrique de Serein,400000;225000,RTE,,
RECY,4.340563718304821,48.99478865974542,147394017.0,Polygon,Poste électrique de Recy,225000;63000;20000,RTE,,
MORBRAS,2.648241856851585,48.778846986017,27266058.0,Polygon,Poste électrique de Morbras,400000;225000,RTE,Multiple matches,
PRAZ-ST-ANDRE,6.58358349607016,45.205333973914605,147132690.0,Polygon,Poste électrique de La Praz Saint-André,400000,RTE,,
VENISSIEUX,4.906080987141097,45.71639677415053,125721667.0,Polygon,Poste électrique de Vénissieux,225000,RTE,,
CHEVIRE,-1.6098709601334558,47.1870712846763,39407602.0,Polygon,Poste électrique de Cheviré,225000,RTE,,
COLAYRAC,0.5636695063431392,44.22782887236463,142571672.0,Polygon,Poste électrique de Colayrac,225000;63000,RTE,,
GIVORS,4.786765256266555,45.571918358535534,118133021.0,Polygon,Poste électrique de Givors,225000,RTE,,
ST-VULBAS-EST,5.260250697953135,45.79738192257896,823662703.0,Polygon,Poste électrique de Saint-Vulbas Est,225000;63000,RTE,,
AQUEDUCS (LES),2.429504900464784,48.59371110884539,24913871.0,Polygon,Les Aqueducs,225000;63000,RTE,,
MONTGROS,3.7196957654324887,44.79124222958807,818615647.0,Polygon,Poste électrique de Montgros,225000,RTE,,
STE-FEYRE,1.9210745038795516,46.19670853572555,138278216.0,Polygon,Poste Électrique de Saint-Feyre,225000;90000,RTE,,
BALMA (POSTE),1.4939208467206977,43.61637600039548,1604500.0,MultiPolygon,Poste Électrique de Balma,225000;63000,RTE,,
PEYRAT-LE-CHATEAU,1.80345411742146,45.80185598105071,138108387.0,Polygon,Poste de Peyrat-le-Château,225000,RTE,,
VAL-DE-SEVRE,-0.656416877820541,46.75113214690699,152835217.0,Polygon,Poste électrique de Val de Sèvre,225000;90000,RTE,,
CHAMPS-REGNAUD,5.059902941434405,47.352616929083226,122061929.0,Polygon,Poste électrique de Champs-Regnaud,250000;225000,RTE,,
FOSSES (LES),3.110815105280902,48.78993460880218,137365310.0,Polygon,Poste électrique des Fosses,225000;63000,RTE,,
PALUN (LA),5.486185463423369,43.46657748161366,101108382.0,Polygon,Poste électrique de La Palun,225000;63000,RTE,,
BROC-CARROS (LE),7.191599545888139,43.80309836528215,90842395.0,Polygon,Poste électrique de Le Broc-Carros,400000;225000,RTE,,
PUTEAUX,2.23508132969796,48.87714414688612,244036491.0,Polygon,Puteaux,225000,RTE,,
TERRIER,2.259006249385116,49.21758053852616,85047359.0,Polygon,Poste électrique de Terrier,400000;225000,RTE,,
CHAINGY,1.8033191687367125,47.87560254679455,34198056.0,Polygon,Poste électrique de Chaingy,400000;225000;90000;20000,RTE,,
VOUGLANS,5.654585932782063,46.39345430435083,95209542.0,Polygon,Poste électrique de Vouglans,225000,RTE,,
